display_first_last,birthdate,school,country,height,weight,season_exp,jersey,position,rosterstatus,team_name,draft_year,draft_round,draft_number,greatest_75_flag
Grayson Allen,1995-10-08 00:00:00,Duke,USA,6-4,198.0,4.0,12,Guard,Active,Bucks,2018,1,21,N
Jerome Allen,1973-01-28 00:00:00,Pennsylvania,USA,6-4,184.0,2.0,53,Guard,Inactive,Pacers,1995,2,49,N
Malik Allen,1978-06-27 00:00:00,Villanova,USA,6-10,255.0,11.0,35,Forward,Inactive,Heat,Undrafted,Undrafted,Undrafted,N
Bob Anderegg,1937-08-24 00:00:00,Michigan State,USA,6-3,200.0,1.0,18,Forward,Inactive,Knicks,1959,3,20,N
Alan Anderson,1982-10-16 00:00:00,Michigan State,USA,6-6,220.0,9.0,9,Forward-Guard,Inactive,Nets,Undrafted,Undrafted,Undrafted,N
Cliff Anderson,1944-09-07 00:00:00,St. Joseph's (PA),USA,6-2,200.0,3.0,26,Guard,Inactive,Lakers,1967,4,35,N
Daniel Anderson,1951-01-01 00:00:00,Southern California,USA,6-2,185.0,2.0,33,Guard,Inactive,Trail Blazers,1974,6,92,N
Kyle Anderson,1993-09-20 00:00:00,UCLA,USA,6-9,230.0,8.0,5,Forward-Guard,Active,Timberwolves,2014,1,30,N
Nick Anderson,1968-01-20 00:00:00,Illinois,USA,6-6,228.0,14.0,5,Forward-Guard,Inactive,Magic,1989,1,11,N
Shandon Anderson,1973-12-31 00:00:00,Georgia,USA,6-6,215.0,10.0,49,Guard-Forward,Inactive,Knicks,1996,2,54,N
Willie Anderson,1967-01-08 00:00:00,Georgia,USA,6-8,200.0,8.0,35,Guard-Forward,Inactive,Spurs,1988,1,10,N
Chris Anstey,1975-01-01 00:00:00,South East Melbourne,Australia,7-0,249.0,2.0,22,Center,Inactive,Mavericks,1997,1,18,N
Greg Anthony,1967-11-15 00:00:00,UNLV,USA,6-1,180.0,11.0,50,Guard,Inactive,Knicks,1991,1,12,N
Joel Anthony,1982-08-09 00:00:00,UNLV,Canada,6-9,245.0,11.0,30,Center,Inactive,Heat,Undrafted,Undrafted,Undrafted,N
Pero Antic,1982-07-29 00:00:00,Olympiacos,Macedonia,6-11,260.0,2.0,6,Forward-Center,Inactive,Hawks,Undrafted,Undrafted,Undrafted,N
Darrell Armstrong,1968-06-22 00:00:00,Fayetteville State,USA,6-1,180.0,15.0,10,Guard,Inactive,Magic,Undrafted,Undrafted,Undrafted,N
Jay Arnette,1938-12-19 00:00:00,Texas-Austin,USA,6-2,175.0,3.0,21,Guard,Inactive,Royals,1960,2,9,N
Carlos Arroyo,1979-07-30 00:00:00,Florida International,Puerto Rico,6-2,200.0,10.0,45,Guard,Inactive,Magic,Undrafted,Undrafted,Undrafted,N
Darrell Arthur,1988-03-25 00:00:00,Kansas,USA,6-9,235.0,10.0,00,Forward,Inactive,Nuggets,2008,1,27,N
Stacey Augmon,1968-08-01 00:00:00,UNLV,USA,6-8,213.0,16.0,2,Forward-Guard,Inactive,Hawks,1991,1,9,N
D.J. Augustin,1987-11-10 00:00:00,University of Texas at Austin,USA,5-11,183.0,15.0,4,Guard,Inactive,Lakers,2008,1,9,N
Anthony Avent,1969-10-18 00:00:00,Seton Hall,USA,6-9,240.0,6.0,30,Center,Inactive,Bucks,1991,1,15,N
Dennis Awtrey,1948-02-22 00:00:00,Santa Clara,USA,6-10,235.0,12.0,20,Center,Inactive,Suns,1970,3,46,N
Kelenna Azubuike,1983-12-16 00:00:00,Kentucky,United Kingdom,6-5,215.0,5.0,4,Guard,Inactive,Warriors,Undrafted,Undrafted,Undrafted,N
Dwayne Bacon,1995-08-30 00:00:00,Florida State,USA,6-6,221.0,5.0,8,Guard-Forward,Inactive,Magic,2017,2,40,N
Jim Baechtold,1927-12-09 00:00:00,Eastern Kentucky,USA,6-4,205.0,5.0,10,Forward,Inactive,Knicks,1952,1,2,N
Marvin Bagley III,1999-03-14 00:00:00,Duke,USA,6-10,235.0,4.0,35,Forward,Active,Pistons,2018,1,2,N
Carl Bailey,1958-04-23 00:00:00,Tuskegee,USA,7-0,210.0,1.0,21,Center,Inactive,Trail Blazers,1980,3,66,N
James Bailey,1957-05-21 00:00:00,Rutgers,USA,6-9,220.0,9.0,2,Forward,Inactive,SuperSonics,1979,1,6,N
Desmond Bane,1998-06-25 00:00:00,TCU,USA,6-5,215.0,2.0,22,Guard,Active,Grizzlies,2020,1,30,N
Stephen Bardo,1968-04-05 00:00:00,Illinois,USA,6-5,190.0,3.0,25,Guard,Inactive,Mavericks,1990,2,41,N
Tom Barker,1955-03-11 00:00:00,Hawaii,USA,6-11,225.0,2.0,6,Center,Inactive,Hawks,1976,4,53,N
Erick Barkley,1978-02-21 00:00:00,St. John's,USA,6-1,185.0,3.0,1,Guard,Inactive,Trail Blazers,2000,1,28,N
Don Barksdale,1923-03-31 00:00:00,UCLA,USA,6-6,200.0,4.0,17,Forward,Inactive,Celtics,Undrafted,Undrafted,Undrafted,N
Dominick Barlow,2003-05-26 00:00:00,                                   ,USA,6-9,215.0,0.0,26,Forward,Active,Spurs,Undrafted,Undrafted,Undrafted,N
Scottie Barnes,2001-08-01 00:00:00,Florida State,USA,6-8,225.0,1.0,4,Forward,Active,Raptors,2021,1,4,N
Drew Barry,1973-02-17 00:00:00,Georgia Tech,USA,6-5,191.0,3.0,10,Guard,Inactive,Hawks,1996,2,57,N
Rick Barry,1944-03-28 00:00:00,Miami,USA,6-7,205.0,10.0,24,Forward,Inactive,Warriors,1965,1,2,Y
Tim Bassett,1951-04-01 00:00:00,Georgia,USA,6-8,225.0,4.0,21,Forward,Inactive,Nets,1973,7,106,N
John Battle,1962-11-09 00:00:00,Rutgers,USA,6-2,175.0,10.0,10,Guard,Inactive,Hawks,1985,4,84,N
Kenny Battle,1964-10-10 00:00:00,Illinois,USA,6-6,210.0,4.0,8,Guard,Inactive,Suns,1989,1,27,N
Elgin Baylor,1934-09-16 00:00:00,Seattle,USA,6-5,225.0,14.0,22,Forward,Inactive,Lakers,1958,1,1,Y
Malik Beasley,1996-11-26 00:00:00,Florida State,USA,6-4,187.0,6.0,5,Guard,Active,Lakers,2016,1,19,N
Jonathan Bender,1981-01-30 00:00:00,Picayune HS (MS),USA,7-0,230.0,9.0,9,Forward,Inactive,Pacers,1999,1,5,N
Mario Bennett,1973-08-01 00:00:00,Arizona State,USA,6-9,235.0,5.0,24,Center-Forward,Inactive,Lakers,1995,1,27,N
Winston Bennett,1965-02-09 00:00:00,Kentucky,USA,6-7,210.0,3.0,30,Guard,Inactive,Cavaliers,1988,3,64,N
Ricky Berry,1964-10-06 00:00:00,San Jose State,USA,6-8,205.0,1.0,34,Forward,Inactive,Kings,1988,1,18,N
Dairis Bertans,1989-09-09 00:00:00,Olimpia Milano,Latvia,6-4,200.0,2.0,9,Guard,Inactive,Pelicans,Undrafted,Undrafted,Undrafted,N
Davis Bertans,1992-11-12 00:00:00,Baskonia,Latvia,6-10,225.0,6.0,44,Forward,Active,Mavericks,2011,2,42,N
Tyler Bey,1998-02-10 00:00:00,Colorado,USA,6-7,215.0,2.0,2,Forward,Inactive,Mavericks,2020,2,36,N
Al Bianchi,1932-03-26 00:00:00,Bowling Green,USA,6-3,185.0,10.0,24,Guard,Inactive,76ers,1954,2,18,N
Ed Biedenbach,1945-08-12 00:00:00,North Carolina State,USA,6-1,175.0,1.0,12,Guard,Inactive,Suns,1968,4,45,N
Don Bielke,1933-01-01 00:00:00,Valparaiso,USA,6-7,240.0,1.0,18,Center,Inactive,Pistons,1954,8,67,N
Bob Bigelow,1953-12-26 00:00:00,Pennsylvania,USA,6-7,215.0,4.0,32,Forward,Inactive,Kings,1975,1,13,N
Larry Bird,1956-12-07 00:00:00,Indiana State,USA,6-9,220.0,13.0,33,Forward,Inactive,Celtics,1978,1,6,Y
Nemanja Bjelica,1988-05-09 00:00:00,Fenerbahce,Serbia,6-9,234.0,8.0,8,Forward,Inactive,Warriors,2010,2,35,N
Ricky Blanton,1966-04-21 00:00:00,Louisiana State,USA,6-7,215.0,1.0,17,Forward,Inactive,Bulls,1989,2,46,N
Andray Blatche,1986-08-22 00:00:00,South Kent HS (CT),USA,6-11,260.0,9.0,0,Center-Forward,Inactive,Wizards,2005,2,49,N
Arlen Bockhorn,1933-07-08 00:00:00,Dayton,USA,6-4,200.0,7.0,11,Guard,Inactive,Royals,1958,3,17,N
Buddy Boeheim,1999-11-11 00:00:00,Syracuse,USA,6-6,205.0,0.0,27,Forward,Active,Pistons,Undrafted,Undrafted,Undrafted,N
Keith Bogans,1980-05-12 00:00:00,Kentucky,USA,6-5,215.0,11.0,4,Guard-Forward,Inactive,Magic,2003,2,43,N
Bogdan Bogdanovic,1992-08-18 00:00:00,Fenerbahce,Serbia,6-5,225.0,5.0,13,Guard,Active,Hawks,2014,1,27,N
Devin Booker,1996-10-30 00:00:00,Kentucky,USA,6-5,206.0,7.0,1,Guard,Active,Suns,2015,1,13,N
Calvin Booth,1976-05-07 00:00:00,Penn State,USA,6-11,230.0,11.0,52,Center,Inactive,SuperSonics,1999,2,35,N
Vince Boryla,1927-03-11 00:00:00,Denver,USA,6-5,210.0,5.0,12,Forward,Inactive,Knicks,Undrafted,Undrafted,Undrafted,N
Jim Bostic,1953-01-28 00:00:00,New Mexico State,USA,6-7,225.0,1.0,32,Forward,Inactive,Pistons,1975,8,139,N
Brandon Boston Jr.,2001-11-28 00:00:00,Kentucky,USA,6-6,188.0,1.0,4,Guard,Active,Clippers,2021,2,51,N
Lawrence Boston,1956-05-18 00:00:00,Maryland,USA,6-8,225.0,1.0,4,Forward,Inactive,Bullets,1978,4,81,N
Tom Boswell,1953-10-02 00:00:00,South Carolina,USA,6-8,220.0,6.0,33,Forward,Inactive,Celtics,1975,1,17,N
James Bouknight,2000-09-18 00:00:00,Connecticut,USA,6-4,190.0,1.0,2,Guard,Active,Hornets,2021,1,11,N
Ruben Boumtje-Boumtje,1978-05-20 00:00:00,Georgetown,USA,7-0,257.0,4.0,44,Center,Inactive,Trail Blazers,2001,2,49,N
Bruce Bowen,1971-06-14 00:00:00,California State-Fullerton,USA,6-7,200.0,14.0,12,Forward,Inactive,Spurs,Undrafted,Undrafted,Undrafted,N
Steve Bracey,1950-08-01 00:00:00,Tulsa,USA,6-1,175.0,3.0,22,Guard,Inactive,Hawks,1972,2,21,N
Dudley Bradley,1957-03-19 00:00:00,North Carolina,USA,6-6,195.0,9.0,22,Guard,Inactive,Pacers,1979,1,13,N
Mark Bradtke,1968-09-27 00:00:00,Melbourne,Australia,6-10,265.0,1.0,50,Center,Inactive,76ers,Undrafted,Undrafted,Undrafted,N
Terrell Brandon,1970-05-20 00:00:00,Oregon,USA,5-11,173.0,12.0,7,Guard,Inactive,Cavaliers,1991,1,11,N
Brad Branson,1958-09-24 00:00:00,Southern Methodist,USA,6-10,220.0,2.0,52,Forward,Inactive,Pacers,1980,2,45,N
Jarrell Brantley,1996-06-07 00:00:00,Charleston,USA,6-5,250.0,3.0,5,Forward,Inactive,Jazz,2019,2,50,N
Ignas Brazdeikis,1999-01-08 00:00:00,Michigan,Canada,6-6,221.0,4.0,17,Forward,Inactive,Magic,2019,2,47,N
Corey Brewer,1986-03-05 00:00:00,Florida,USA,6-9,188.0,14.0,13,Guard-Forward,Inactive,Timberwolves,2007,1,7,N
Bill Bridges,1939-04-04 00:00:00,Kansas,USA,6-5,228.0,13.0,32,Forward,Inactive,Hawks,1961,3,32,N
Ryan Broekhoff,1990-08-23 00:00:00,Valparaiso,Australia,6-6,215.0,3.0,45,Guard-Forward,Inactive,Mavericks,Undrafted,Undrafted,Undrafted,N
Michael Brooks,1958-08-17 00:00:00,La Salle,USA,6-7,220.0,6.0,35,Forward,Inactive,Clippers,1980,1,9,N
Scott Brooks,1965-07-31 00:00:00,California-Irvine,USA,5-11,165.0,10.0,2,Guard,Inactive,Rockets,Undrafted,Undrafted,Undrafted,N
Bruce Brown,1996-08-15 00:00:00,Miami,USA,6-4,202.0,4.0,11,Guard-Forward,Active,Nuggets,2018,2,42,N
Chucky Brown,1968-02-29 00:00:00,North Carolina State,USA,6-8,220.0,13.0,52,Forward,Inactive,Cavaliers,1989,2,43,N
Ernest Brown,1979-05-17 00:00:00,Indian Hills C.C.,USA,7-0,244.0,2.0,52,Center,Inactive,Heat,2000,2,52,N
Fred Brown,1948-08-07 00:00:00,Iowa,USA,6-3,182.0,13.0,32,Guard,Inactive,SuperSonics,1971,1,6,N
P.J. Brown,1969-10-14 00:00:00,Louisiana Tech,USA,6-11,239.0,16.0,93,Forward-Center,Inactive,Hornets,1992,2,29,N
Randy Brown,1968-05-22 00:00:00,New Mexico State,USA,6-2,190.0,13.0,0,Guard,Inactive,Bulls,1991,2,31,N
Tony Brown,1960-07-29 00:00:00,Arkansas,USA,6-6,185.0,7.0,21,Forward,Inactive,Bucks,1982,4,82,N
Charlie Brown Jr.,1997-02-02 00:00:00,St. Joseph's (PA),USA,6-6,199.0,4.0,16,Guard,Inactive,76ers,Undrafted,Undrafted,Undrafted,N
Stanley Brundy,1967-11-13 00:00:00,DePaul,USA,6-6,210.0,1.0,21,Forward,Inactive,Nets,1989,2,32,N
Joe Bryant,1954-10-19 00:00:00,La Salle,USA,6-10,185.0,8.0,22,Forward,Inactive,76ers,1975,1,14,N
Wallace Bryant,1959-07-14 00:00:00,San Francisco,USA,7-0,245.0,3.0,31,Center,Inactive,Mavericks,1982,2,30,N
Greg Buckner,1976-09-16 00:00:00,Clemson,USA,6-4,210.0,11.0,7,Guard,Inactive,Mavericks,1998,2,53,N
Quinn Buckner,1954-08-20 00:00:00,Indiana,USA,6-3,190.0,10.0,25,Guard,Inactive,Bucks,1976,1,7,N
Rodney Buford,1977-11-02 00:00:00,Creighton,USA,6-5,195.0,6.0,2,Forward-Guard,Inactive,Nets,1999,2,53,N
Matt Bullard,1967-06-05 00:00:00,Iowa,USA,6-10,229.0,12.0,50,Forward,Inactive,Rockets,Undrafted,Undrafted,Undrafted,N
Greg Bunch,1956-05-15 00:00:00,California State-Fullerton,USA,6-6,190.0,1.0,30,Forward,Inactive,Knicks,1978,2,34,N
Tom Burleson,1952-02-24 00:00:00,North Carolina State,USA,7-2,225.0,7.0,16,Center,Inactive,SuperSonics,1974,1,3,N
Scott Burrell,1971-01-12 00:00:00,Connecticut,USA,6-7,218.0,8.0,2,Guard,Inactive,Hornets,1993,1,20,N
Jared Butler,2000-08-25 00:00:00,Baylor,USA,6-3,193.0,1.0,14,Guard,Active,Thunder,2021,2,40,N
Mitchell Butler,1970-12-15 00:00:00,UCLA,USA,6-5,210.0,9.0,32,Guard,Inactive,Wizards,Undrafted,Undrafted,Undrafted,N
Derrick Byars,1984-04-25 00:00:00,Vanderbilt,USA,6-7,220.0,2.0,34,Guard-Forward,Inactive,Spurs,2007,2,42,N
Barney Cable,1935-07-29 00:00:00,Bradley,USA,6-7,175.0,6.0,35,Forward,Inactive,Nationals,1958,2,10,N
Jason Caffey,1973-06-12 00:00:00,Alabama,USA,6-8,256.0,9.0,35,Forward,Inactive,Bulls,1995,1,20,N
Jose Calderon,1981-09-28 00:00:00,                                   ,Spain,6-3,200.0,15.0,81,Guard,Inactive,Raptors,Undrafted,Undrafted,Undrafted,N
Bill Calhoun,1927-11-04 00:00:00,CC of San Francisco,USA,6-3,180.0,7.0,3,Forward,Inactive,Hawks,Undrafted,Undrafted,Undrafted,N
Elden Campbell,1968-07-23 00:00:00,Clemson,USA,7-0,279.0,16.0,41,Center-Forward,Inactive,Lakers,1990,1,27,N
Brian Cardinal,1977-05-02 00:00:00,Purdue,USA,6-8,240.0,13.0,35,Forward,Inactive,Grizzlies,2000,2,44,N
Bob Carney,1932-08-03 00:00:00,Bradley,USA,6-3,170.0,1.0,18,Center,Inactive,Lakers,1954,6,47,N
Bob Carpenter,1917-11-06 00:00:00,Texas A&M-Commerce,USA,6-5,200.0,2.0,10-15,Forward,Inactive,Pistons,Undrafted,Undrafted,Undrafted,N
Austin Carr,1948-03-10 00:00:00,Notre Dame,USA,6-4,200.0,10.0,34,Guard,Inactive,Cavaliers,1971,1,1,N
Cory Carr,1975-12-05 00:00:00,Texas Tech,USA,6-4,210.0,1.0,21,Guard,Inactive,Bulls,1998,2,49,N
Bob Carrington,1953-07-03 00:00:00,Boston College,USA,6-6,195.0,2.0,30,Guard,Inactive,Nets,1976,2,28,N
George Carter,1944-01-18 00:00:00,St. Bonaventure,USA,6-4,210.0,1.0,12,Forward,Inactive,Pistons,1967,8,81,N
Howard Carter,1961-10-26 00:00:00,Louisiana State,USA,6-5,215.0,2.0,32,Guard,Inactive,Nuggets,1983,1,15,N
Vince Carter,1977-01-26 00:00:00,North Carolina,USA,6-6,220.0,23.0,15,Guard-Forward,Inactive,Raptors,1998,1,5,N
Jay Carty,1941-07-04 00:00:00,Oregon State,USA,6-7,220.0,1.0,52,Forward,Inactive,Lakers,1962,6,46,N
Sam Cassell,1969-11-18 00:00:00,Florida State,USA,6-3,185.0,16.0,28,Guard,Inactive,Bucks,1993,1,24,N
Terry Catledge,1963-08-22 00:00:00,South Alabama,USA,6-8,220.0,8.0,33,Forward,Inactive,Bullets,1985,1,21,N
Troy Caupain,1995-11-29 00:00:00,Cincinnati,USA,6-4,210.0,2.0,3,Guard,Inactive,Magic,Undrafted,Undrafted,Undrafted,N
Tyler Cavanaugh,1994-02-09 00:00:00,George Washington,USA,6-9,238.0,3.0,34,Forward,Inactive,Hawks,Undrafted,Undrafted,Undrafted,N
Ron Cavenall,1959-04-30 00:00:00,Texas Southern,USA,7-1,230.0,2.0,40,Center,Inactive,Knicks,Undrafted,Undrafted,Undrafted,N
Cedric Ceballos,1969-08-02 00:00:00,California State-Fullerton,USA,6-7,220.0,11.0,23,Forward,Inactive,Suns,1990,2,48,N
Julian Champagnie,2001-06-29 00:00:00,St. John's,USA,6-7,217.0,0.0,30,Forward,Active,Spurs,Undrafted,Undrafted,Undrafted,N
Mike Champion,1964-04-05 00:00:00,Gonzaga,USA,6-10,230.0,1.0,41,Forward,Inactive,SuperSonics,Undrafted,Undrafted,Undrafted,N
Tyson Chandler,1982-10-02 00:00:00,                                   ,USA,7-0,235.0,20.0,6,Center,Inactive,Knicks,2001,1,2,N
Wilson Chandler,1987-05-10 00:00:00,DePaul,USA,6-8,235.0,13.0,21,Forward,Inactive,Nuggets,2007,1,23,N
Don Chaney,1946-03-22 00:00:00,Houston,USA,6-5,210.0,11.0,12,Guard,Inactive,Celtics,1968,1,12,N
Bob Christian,1944-05-11 00:00:00,Grambling,USA,6-10,255.0,4.0,31,Center,Inactive,Hawks,1969,8,109,N
Robert Churchwell,1972-02-20 00:00:00,Georgetown,USA,6-6,195.0,1.0,21,Forward,Inactive,Warriors,Undrafted,Undrafted,Undrafted,N
Bimbo Coles,1968-04-22 00:00:00,Virginia Tech,USA,6-2,182.0,15.0,12,Guard,Inactive,Heat,1990,2,40,N
Jimmy Collins,1946-11-24 00:00:00,New Mexico State,USA,6-2,175.0,2.0,22,Guard,Inactive,Bulls,1970,1,11,N
Mardy Collins,1984-08-04 00:00:00,Temple,USA,6-6,220.0,5.0,25,Guard,Inactive,Knicks,2006,1,29,N
Nick Collison,1980-10-26 00:00:00,Kansas,USA,6-10,255.0,15.0,4,Forward-Center,Inactive,Thunder,2003,1,12,N
Joe Colone,1926-01-23 00:00:00,Bloomsburg,USA,6-5,210.0,1.0,18,Forward,Inactive,Knicks,Undrafted,Undrafted,Undrafted,N
Leroy Combs,1961-01-01 00:00:00,Oklahoma State,USA,6-8,210.0,1.0,34,Forward,Inactive,Pacers,1983,2,26,N
Lester Conner,1959-09-17 00:00:00,Oregon State,USA,6-4,180.0,12.0,7,Guard,Inactive,Warriors,1982,1,14,N
David Cooke,1963-09-27 00:00:00,St. Mary's (CA),USA,6-8,230.0,1.0,14,Forward,Inactive,Kings,Undrafted,Undrafted,Undrafted,N
Michael Cooper,1956-04-15 00:00:00,New Mexico,USA,6-7,170.0,12.0,21,Guard,Inactive,Lakers,1978,3,60,N
Tom Copa,1964-10-30 00:00:00,Marquette,USA,6-10,275.0,1.0,30,Forward,Inactive,Spurs,Undrafted,Undrafted,Undrafted,N
Dave Cowens,1948-10-25 00:00:00,Florida State,USA,6-9,230.0,11.0,18,Center,Inactive,Celtics,1970,1,4,Y
Wesley Cox,1955-01-27 00:00:00,Louisville,USA,6-6,215.0,2.0,41,Forward,Inactive,Warriors,1977,1,18,N
Torrey Craig,1990-12-19 00:00:00,South Carolina Upstate,USA,6-7,221.0,5.0,0,Forward,Active,Suns,Undrafted,Undrafted,Undrafted,N
Chris Crawford,1975-05-13 00:00:00,Marquette,USA,6-9,235.0,8.0,4,Forward,Inactive,Hawks,1997,2,50,N
Joe Crawford,1986-06-17 00:00:00,Kentucky,USA,6-5,210.0,2.0,5,Guard,Inactive,Knicks,2008,2,58,N
Ron Crevier,1958-08-14 00:00:00,Boston College,USA,7-0,235.0,1.0,42,Center,Inactive,Pistons,1983,4,75,N
Joe Crispin,1979-07-18 00:00:00,Penn State,USA,6-0,185.0,2.0,11,Guard,Inactive,Suns,Undrafted,Undrafted,Undrafted,N
Javaris Crittenton,1987-12-31 00:00:00,Georgia Tech,USA,6-5,200.0,3.0,8,Guard,Inactive,Wizards,2007,1,19,N
Jeff Cross,1961-09-01 00:00:00,Maine,USA,6-10,240.0,1.0,38,Forward,Inactive,Clippers,1984,3,61,N
Radisav Curcic,1965-09-26 00:00:00,Union Olimpija,Serbia,6-10,275.0,1.0,44,Center,Inactive,Mavericks,Undrafted,Undrafted,Undrafted,N
Seth Curry,1990-08-23 00:00:00,Duke,USA,6-1,185.0,8.0,30,Guard,Active,Nets,Undrafted,Undrafted,Undrafted,N
Bob Dandridge,1947-11-15 00:00:00,Norfolk State,USA,6-6,195.0,13.0,10,Forward,Inactive,Bucks,1969,4,45,N
Sasha Danilovic,1970-02-26 00:00:00,Virtus Bologna,Serbia,6-6,200.0,2.0,5,Guard,Inactive,Heat,1992,2,43,N
Kornel David,1971-10-22 00:00:00,Budapest AEH,USA,6-9,230.0,3.0,9,Forward,Inactive,Bulls,Undrafted,Undrafted,Undrafted,N
Anthony Davis,1993-03-11 00:00:00,Kentucky,USA,6-10,253.0,10.0,3,Forward-Center,Active,Lakers,2012,1,1,Y
Charlie Davis,1958-10-05 00:00:00,Vanderbilt,USA,6-7,215.0,8.0,22,Forward,Inactive,Bullets,1981,2,35,N
Ed Davis,1989-06-05 00:00:00,North Carolina,USA,6-9,218.0,13.0,21,Center-Forward,Inactive,Cavaliers,2010,1,13,N
Harry Davis,1956-01-27 00:00:00,Florida State,USA,6-7,220.0,2.0,23,Forward,Inactive,Cavaliers,1978,2,33,N
Hubert Davis,1970-05-17 00:00:00,North Carolina,USA,6-5,183.0,13.0,44,Guard,Inactive,Knicks,1992,1,20,N
Mike Davis,1946-07-26 00:00:00,Virginia Union,USA,6-3,185.0,4.0,32,Guard,Inactive,Braves,1969,1,14,N
Terence Davis,1997-05-16 00:00:00,Mississippi,USA,6-4,201.0,3.0,3,Guard,Active,Kings,Undrafted,Undrafted,Undrafted,N
Johnny Dawkins,1963-09-28 00:00:00,Duke,USA,6-2,165.0,9.0,12,Guard,Inactive,76ers,1986,1,10,N
Paul Dawkins,1957-06-10 00:00:00,Northern Illinois,USA,6-5,190.0,1.0,31,Forward,Inactive,Jazz,1979,10,185,N
Hank DeZonie,1922-02-12 00:00:00,Clark Atlanta,USA,6-5,215.0,1.0,10,Forward,Inactive,Blackhawks,Undrafted,Undrafted,Undrafted,N
Greg Deane,1957-12-06 00:00:00,Utah,USA,6-4,190.0,1.0,33,Guard,Inactive,Jazz,1979,4,67,N
Archie Dees,1936-02-22 00:00:00,Indiana,USA,6-8,205.0,4.0,44,Forward,Inactive,Pistons,1958,1,2,N
Matthew Dellavedova,1990-09-08 00:00:00,St. Mary's,Australia,6-3,200.0,8.0,8,Guard,Active,Kings,Undrafted,Undrafted,Undrafted,N
Fennis Dembo,1966-01-24 00:00:00,Wyoming,USA,6-5,215.0,1.0,34,Forward,Inactive,Pistons,1988,2,30,N
Rod Derline,1952-03-11 00:00:00,Seattle,USA,6-0,175.0,2.0,25,Guard,Inactive,SuperSonics,1974,10,169,N
Marcus Derrickson,1996-02-01 00:00:00,Georgetown,USA,6-7,249.0,2.0,32,Forward,Inactive,Warriors,Undrafted,Undrafted,Undrafted,N
Dave Deutsch,1945-05-13 00:00:00,Rochester,USA,6-1,170.0,1.0,3,Guard,Inactive,Knicks,1966,12,98,N
Moussa Diabate,2002-01-21 00:00:00,Michigan,France,6-10,210.0,0.0,25,Forward,Active,Clippers,2022,2,43,N
Dan Dickau,1978-09-16 00:00:00,Gonzaga,USA,6-0,180.0,7.0,10,Guard,Inactive,Hawks,2002,1,28,N
Connie Dierking,1936-10-02 00:00:00,Cincinnati,USA,6-10,222.0,10.0,18,Center,Inactive,Royals,1958,1,5,N
Byron Dinkins,1967-06-15 00:00:00,North Carolina-Charlotte,USA,6-1,170.0,2.0,5,Guard,Inactive,Rockets,Undrafted,Undrafted,Undrafted,N
DeSagana Diop,1982-01-30 00:00:00,No College,Senegal,7-0,280.0,13.0,2,Center,Inactive,Mavericks,2001,1,8,N
Terry Dischinger,1940-11-21 00:00:00,Purdue,USA,6-7,189.0,9.0,42,Forward,Inactive,Pistons,1962,2,8,N
James Donaldson,1957-08-16 00:00:00,Washington State,USA,7-2,275.0,14.0,54,Center,Inactive,Mavericks,1979,4,73,N
Keyon Dooling,1980-05-08 00:00:00,Missouri,USA,6-3,195.0,14.0,55,Guard,Inactive,Clippers,2000,1,10,N
Jacky Dorsey,1954-12-18 00:00:00,Georgia,USA,6-7,230.0,3.0,34,Forward,Inactive,SuperSonics,1976,2,26,N
